x,direcao_descida,erro,f(min),x_anterior
[-0.42322901 -0.0223042 ],[-0.22062185 -0.09132216],0.00023877549638553366,-0.24813145905143336,[-0.42322901 -0.0223042 ]
[-0.42344946 -0.02239545],[-0.22045457 -0.09125345],0.00023859465742203875,-0.24818836490471757,[-0.42344946 -0.02239545]
[-0.42366975 -0.02248664],[-0.22028742 -0.09118478],0.00023841395542069802,-0.24824518459423187,[-0.42366975 -0.02248664]
[-0.42388987 -0.02257775],[-0.2201204  -0.09111617],0.00023823339027775076,-0.24830191825044176,[-0.42388987 -0.02257775]
[-0.42410983 -0.0226688 ],[-0.21995351 -0.0910476 ],0.00023805296188946051,-0.24835856600361506,[-0.42410983 -0.0226688 ]
[-0.42432961 -0.02275978],[-0.21978675 -0.09097908],0.00023787267015230727,-0.24841512798382237,[-0.42432961 -0.02275978]
[-0.42454923 -0.02285069],[-0.21962011 -0.09091061],0.000237692514962694,-0.2484716043209374,[-0.42454923 -0.02285069]
[-0.42476869 -0.02294153],[-0.2194536  -0.09084218],0.00023751249621719675,-0.2485279951446372,[-0.42476869 -0.02294153]
[-0.42498797 -0.02303231],[-0.21928722 -0.09077381],0.0002373326138124145,-0.24858430058440228,[-0.42498797 -0.02303231]
[-0.42520709 -0.02312301],[-0.21912097 -0.09070548],0.00023715286764512192,-0.24864052076951731,[-0.42520709 -0.02312301]
[-0.42542605 -0.02321365],[-0.21895484 -0.0906372 ],0.00023697325761202063,-0.24869665582907108,[-0.42542605 -0.02321365]
[-0.42564484 -0.02330422],[-0.21878885 -0.09056896],0.00023679378361003917,-0.24875270589195686,[-0.42564484 -0.02330422]
[-0.42586346 -0.02339472],[-0.21862297 -0.09050078],0.00023661444553608704,-0.2488086710868728,[-0.42586346 -0.02339472]
[-0.42608192 -0.02348515],[-0.21845723 -0.09043264],0.00023643524328725325,-0.24886455154232212,[-0.42608192 -0.02348515]
[-0.42630021 -0.02357552],[-0.21829161 -0.09036455],0.00023625617676055656,-0.24892034738661353,[-0.42630021 -0.02357552]
[-0.42651834 -0.02366581],[-0.21812612 -0.09029651],0.00023607724585319914,-0.24897605874786144,[-0.42651834 -0.02366581]
[-0.4267363  -0.02375604],[-0.21796076 -0.09022852],0.0002358984504624181,-0.24903168575398618,[-0.4267363  -0.02375604]
[-0.42695409 -0.0238462 ],[-0.21779553 -0.09016057],0.00023571979048563665,-0.2490872285327143,[-0.42695409 -0.0238462 ]
[-0.42717172 -0.02393629],[-0.21763042 -0.09009267],0.0002355412658202103,-0.24914268721157928,[-0.42717172 -0.02393629]
[-0.42738919 -0.02402632],[-0.21746543 -0.09002482],0.0002353628763635847,-0.2491980619179211,[-0.42738919 -0.02402632]
[-0.42760649 -0.02411628],[-0.21730058 -0.08995702],0.0002351846220134469,-0.2492533527788871,[-0.42760649 -0.02411628]
[-0.42782362 -0.02420616],[-0.21713585 -0.08988927],0.00023500650266736626,-0.24930855992143205,[-0.42782362 -0.02420616]
[-0.4280406  -0.02429599],[-0.21697124 -0.08982156],0.00023482851822306014,-0.24936368347231858,[-0.4280406  -0.02429599]
